AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	dev_stage_s	geo_loc_name_s	tissue_s
285	SAMN04498220	SRX1611208	DNA library 173	2016-03-03	4234	1754	Brassica rapa	2016-03-04	SRR3201562	SRS1320512	Brassica rapa SamA_173	Zicaitai 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498219	SRX1611206	DNA library 172	2016-03-03	4592	1898	Brassica rapa	2016-03-04	SRR3201558	SRS1320513	Brassica rapa SamA_172	Zicaitai 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
283	SAMN04498222	SRX1611212	DNA library 175	2016-03-03	4529	1883	Brassica rapa	2016-03-04	SRR3201566	SRS1320514	Brassica rapa SamA_175	Zicaitai 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
285	SAMN04498221	SRX1611210	DNA library 174	2016-03-03	4121	1710	Brassica rapa	2016-03-04	SRR3201565	SRS1320516	Brassica rapa SamA_174	Zicaitai 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498224	SRX1611215	DNA library 177	2016-03-03	2482	1710	Brassica rapa	2016-03-04	SRR3201593	SRS1320518	Brassica rapa SamA_177	Taicai 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
150	SAMN04498223	SRX1611213	DNA library 176	2016-03-03	10036	6226	Brassica rapa	2016-03-04	SRR3201592	SRS1320519	Brassica rapa SamA_176	Taicai 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498226	SRX1611219	DNA library 179	2016-03-03	2069	1347	Brassica rapa	2016-03-04	SRR3201598	SRS1320521	Brassica rapa SamA_179	Taicai 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
149	SAMN04498225	SRX1611216	DNA library 178	2016-03-03	2506	1605	Brassica rapa	2016-03-04	SRR3201595	SRS1320523	Brassica rapa SamA_178	Taicai 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
153	SAMN04498227	SRX1611222	DNA library 180	2016-03-03	4716	2915	Brassica rapa	2016-03-04	SRR3201616	SRS1320526	Brassica rapa SamA_180	Komatsuna 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
145	SAMN04498066	SRX1611227	DNA library 19	2016-03-03	2442	1517	Brassica rapa	2016-03-04	SRR3201621	SRS1320528	Brassica rapa SamA_019	Chinese cabbage 19	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
145	SAMN04498228	SRX1611231	DNA library 181	2016-03-03	2359	1424	Brassica rapa	2016-03-04	SRR3201630	SRS1320535	Brassica rapa SamA_181	Komatsuna 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498229	SRX1611244	DNA library 182	2016-03-03	2423	1507	Brassica rapa	2016-03-04	SRR3201646	SRS1320546	Brassica rapa SamA_182	Mizuna 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498230	SRX1611280	DNA library 183	2016-03-03	2227	1379	Brassica rapa	2016-03-04	SRR3201660	SRS1320577	Brassica rapa SamA_183	Mizuna 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498231	SRX1611284	DNA library 184	2016-03-03	2560	1585	Brassica rapa	2016-03-04	SRR3201665	SRS1320587	Brassica rapa SamA_184	Edible Flower 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
154	SAMN04498232	SRX1611294	DNA library 185	2016-03-03	6093	3613	Brassica rapa	2016-03-04	SRR3201729	SRS1320601	Brassica rapa SamA_185	Yellow Sarson 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498233	SRX1611318	DNA library 186	2016-03-03	18194	8098	Brassica rapa	2016-03-04	SRR3201745	SRS1320615	Brassica rapa SamA_186	Oil seeds 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498234	SRX1611325	DNA library 187	2016-03-03	4370	2010	Brassica rapa	2016-03-04	SRR3201750	SRS1320629	Brassica rapa SamA_187	Oil seeds 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498235	SRX1611326	DNA library 188	2016-03-03	6067	2531	Brassica rapa	2016-03-04	SRR3201751	SRS1320631	Brassica rapa SamA_188	Oil seeds 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498236	SRX1611334	DNA library 189	2016-03-03	7849	3557	Brassica rapa	2016-03-04	SRR3201759	SRS1320639	Brassica rapa SamA_189	Oil seeds 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498237	SRX1611344	DNA library 190	2016-03-03	4941	2028	Brassica rapa	2016-03-04	SRR3201760	SRS1320649	Brassica rapa SamA_190	Oil seeds 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498067	SRX1611346	DNA library 20	2016-03-03	2228	1410	Brassica rapa	2016-03-04	SRR3201769	SRS1320650	Brassica rapa SamA_020	Chinese cabbage 20	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498238	SRX1611348	DNA library 191	2016-03-03	5312	3360	Brassica rapa	2016-03-04	SRR3201785	SRS1320652	Brassica rapa SamA_191	Oil seeds 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498240	SRX1611352	DNA library 193	2016-03-03	5379	2197	Brassica rapa	2016-03-04	SRR3201793	SRS1320654	Brassica rapa SamA_193	Oil seeds 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498239	SRX1611350	DNA library 192	2016-03-03	4509	1868	Brassica rapa	2016-03-04	SRR3201790	SRS1320656	Brassica rapa SamA_192	Oil seeds 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498241	SRX1611356	DNA library 194	2016-03-03	4453	2071	Brassica rapa	2016-03-04	SRR3201801	SRS1320659	Brassica rapa SamA_194	Oil seeds 9	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498242	SRX1611361	DNA library 195	2016-03-03	11490	5088	Brassica rapa	2016-03-04	SRR3201826	SRS1320664	Brassica rapa SamA_195	Oil seeds 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498243	SRX1611362	DNA library 196	2016-03-03	8417	3504	Brassica rapa	2016-03-04	SRR3201859	SRS1320665	Brassica rapa SamA_196	Oil seeds 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498244	SRX1611487	DNA library 197	2016-03-03	11655	5224	Brassica rapa	2016-03-04	SRR3201997	SRS1320666	Brassica rapa SamA_197	Oil seeds 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
126	SAMN04498245	SRX1611489	DNA library 198	2016-03-03	4533	2840	Brassica rapa	2016-03-04	SRR3201998	SRS1320668	Brassica rapa SamA_198	Rapid cycling 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
150	SAMN04498246	SRX1611490	DNA library 199	2016-03-03	2271	1459	Brassica rapa	2016-03-04	SRR3201999	SRS1320669	Brassica rapa SamA_199	Rapid cycling 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498247	SRX1611492	DNA library 200	2016-03-03	6556	4568	Brassica oleracea	2016-03-04	SRR3202000	SRS1320671	Brassica oleracea SamC_001	Cabbage 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498050	SRX1611507	DNA library 3	2016-03-03	2289	1409	Brassica rapa	2016-03-04	SRR3202002	SRS1320675	Brassica rapa SamA_003	Chinese cabbage 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498068	SRX1611510	DNA library 21	2016-03-03	1748	1104	Brassica rapa	2016-03-04	SRR3202003	SRS1320684	Brassica rapa SamA_021	Chinese cabbage 21	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498248	SRX1611540	DNA library 201	2016-03-03	6858	4569	Brassica oleracea	2016-03-04	SRR3202020	SRS1320720	Brassica oleracea SamC_002	Cabbage 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498249	SRX1611543	DNA library 202	2016-03-03	6726	4704	Brassica oleracea	2016-03-04	SRR3202029	SRS1320722	Brassica oleracea SamC_003	Cabbage 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498250	SRX1611544	DNA library 203	2016-03-03	6824	4596	Brassica oleracea	2016-03-04	SRR3202031	SRS1320723	Brassica oleracea SamC_004	Cabbage 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498251	SRX1611545	DNA library 204	2016-03-03	5890	4244	Brassica oleracea	2016-03-04	SRR3202032	SRS1320724	Brassica oleracea SamC_005	Cabbage 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498252	SRX1611546	DNA library 205	2016-03-03	6729	4548	Brassica oleracea	2016-03-04	SRR3202033	SRS1320725	Brassica oleracea SamC_006	Cabbage 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498253	SRX1611547	DNA library 206	2016-03-03	6630	4488	Brassica oleracea	2016-03-04	SRR3202040	SRS1320726	Brassica oleracea SamC_007	Cabbage 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498254	SRX1611548	DNA library 207	2016-03-03	6640	4511	Brassica oleracea	2016-03-04	SRR3202041	SRS1320727	Brassica oleracea SamC_008	Cabbage 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498255	SRX1611549	DNA library 208	2016-03-03	6710	4536	Brassica oleracea	2016-03-04	SRR3202042	SRS1320728	Brassica oleracea SamC_009	Cabbage 9	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498256	SRX1611551	DNA library 209	2016-03-03	3593	1459	Brassica oleracea	2016-03-04	SRR3202043	SRS1320730	Brassica oleracea SamC_010	Cabbage 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498257	SRX1612308	DNA library 210	2016-03-03	3845	1558	Brassica oleracea	2016-03-04	SRR3202044	SRS1320806	Brassica oleracea SamC_011	Cabbage 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
137	SAMN04498069	SRX1612309	DNA library 22	2016-03-03	2624	1610	Brassica rapa	2016-03-04	SRR3202801	SRS1321479	Brassica rapa SamA_022	Chinese cabbage 22	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498258	SRX1612310	DNA library 211	2016-03-03	8313	3329	Brassica oleracea	2016-03-04	SRR3202802	SRS1321480	Brassica oleracea SamC_012	Cabbage 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498259	SRX1612311	DNA library 212	2016-03-03	3555	1417	Brassica oleracea	2016-03-04	SRR3202803	SRS1321481	Brassica oleracea SamC_013	Cabbage 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498260	SRX1612313	DNA library 213	2016-03-16	5014	2030	Brassica oleracea	2016-03-16	SRR3202805	SRS1321483	Brassica oleracea SamC_014	Cabbage 14	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498262	SRX1612316	DNA library 215	2016-03-16	4100	1607	Brassica oleracea	2016-03-16	SRR3202807	SRS1321485	Brassica oleracea SamC_016	Cabbage 16	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
290	SAMN04498261	SRX1612315	DNA library 214	2016-03-16	5232	2065	Brassica oleracea	2016-03-16	SRR3202806	SRS1321486	Brassica oleracea SamC_015	Cabbage 15	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
293	SAMN04498263	SRX1612317	DNA library 216	2016-03-16	7278	2900	Brassica oleracea	2016-03-16	SRR3202808	SRS1321487	Brassica oleracea SamC_017	Cabbage 17	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498264	SRX1612318	DNA library 217	2016-03-16	4034	1599	Brassica oleracea	2016-03-16	SRR3202809	SRS1321488	Brassica oleracea SamC_018	Cabbage 18	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498266	SRX1612356	DNA library 219	2016-03-04	4207	1665	Brassica oleracea	2016-03-04	SRR3202811	SRS1321524	Brassica oleracea SamC_020	Cabbage 20	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
145	SAMN04498070	SRX1612359	DNA library 23	2016-03-04	2607	1644	Brassica rapa	2016-03-04	SRR3202822	SRS1321529	Brassica rapa SamA_023	Chinese cabbage 23	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498268	SRX1612363	DNA library 221	2016-03-04	4934	1976	Brassica oleracea	2016-03-04	SRR3202827	SRS1321530	Brassica oleracea SamC_022	Cabbage 22	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498269	SRX1612368	DNA library 222	2016-03-04	4877	2039	Brassica oleracea	2016-03-04	SRR3202833	SRS1321531	Brassica oleracea SamC_023	Cabbage 23	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
179	SAMN04498271	SRX1612370	DNA library 224	2016-03-04	2847	1516	Brassica oleracea	2016-03-04	SRR3202835	SRS1321533	Brassica oleracea SamC_025	Cabbage 25	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
179	SAMN04498272	SRX1612371	DNA library 225	2016-03-04	3768	2037	Brassica oleracea	2016-03-04	SRR3202836	SRS1321534	Brassica oleracea SamC_026	Cabbage 26	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
179	SAMN04498274	SRX1612373	DNA library 227	2016-03-04	1830	990	Brassica oleracea	2016-03-04	SRR3202838	SRS1321536	Brassica oleracea SamC_028	Cabbage 28	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498275	SRX1612374	DNA library 228	2016-03-04	6094	4227	Brassica oleracea	2016-03-04	SRR3202868	SRS1321537	Brassica oleracea SamC_029	Cabbage 29	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498071	SRX1612378	DNA library 24	2016-03-04	2207	1332	Brassica rapa	2016-03-04	SRR3202871	SRS1321541	Brassica rapa SamA_024	Chinese cabbage 24	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498280	SRX1612381	DNA library 233	2016-03-04	7010	4894	Brassica oleracea	2016-03-04	SRR3202876	SRS1321544	Brassica oleracea SamC_034	White Cabbage 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498283	SRX1612419	DNA library 236	2016-03-04	7069	4931	Brassica oleracea	2016-03-04	SRR3202882	SRS1321582	Brassica oleracea SamC_037	White Cabbage 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498286	SRX1612424	DNA library 239	2016-03-04	6892	4767	Brassica oleracea	2016-03-04	SRR3202912	SRS1321586	Brassica oleracea SamC_040	White Cabbage 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498288	SRX1612542	DNA library 241	2016-03-04	5578	4037	Brassica oleracea	2016-03-04	SRR3203047	SRS1321704	Brassica oleracea SamC_042	White Cabbage 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498290	SRX1612544	DNA library 243	2016-03-04	4986	2171	Brassica oleracea	2016-03-04	SRR3203049	SRS1321706	Brassica oleracea SamC_044	Cabbage 30	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498293	SRX1612548	DNA library 246	2016-03-04	7205	5013	Brassica oleracea	2016-03-04	SRR3203052	SRS1321710	Brassica oleracea SamC_047	Kohlrabi 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498295	SRX1612550	DNA library 248	2016-03-04	7144	4992	Brassica oleracea	2016-03-04	SRR3203054	SRS1321712	Brassica oleracea SamC_049	Kohlrabi 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498296	SRX1612551	DNA library 249	2016-03-04	7134	4979	Brassica oleracea	2016-03-04	SRR3203055	SRS1321713	Brassica oleracea SamC_050	Kohlrabi 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498073	SRX1612567	DNA library 26	2016-03-04	2191	1395	Brassica rapa	2016-03-04	SRR3203071	SRS1321729	Brassica rapa SamA_026	Chinese cabbage 26	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498075	SRX1612607	DNA library 28	2016-03-04	2438	1417	Brassica rapa	2016-03-04	SRR3203110	SRS1321731	Brassica rapa SamA_028	Chinese cabbage 28	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498313	SRX1612602	DNA library 266	2016-03-04	6867	4573	Brassica oleracea	2016-03-04	SRR3203105	SRS1321735	Brassica oleracea SamC_067	Cauliflower 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498312	SRX1612601	DNA library 265	2016-03-04	7272	5105	Brassica oleracea	2016-03-04	SRR3203104	SRS1321737	Brassica oleracea SamC_066	Cauliflower 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498311	SRX1612595	DNA library 264	2016-03-04	7233	5077	Brassica oleracea	2016-03-04	SRR3203096	SRS1321743	Brassica oleracea SamC_065	Cauliflower 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
291	SAMN04498308	SRX1612584	DNA library 261	2016-03-04	6252	2516	Brassica oleracea	2016-03-04	SRR3203086	SRS1321751	Brassica oleracea SamC_062	Kohlrabi 17	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
138	SAMN04498074	SRX1612582	DNA library 27	2016-03-04	2388	1499	Brassica rapa	2016-03-04	SRR3203085	SRS1321752	Brassica rapa SamA_027	Chinese cabbage 27	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498310	SRX1612587	DNA library 263	2016-03-04	4532	1856	Brassica oleracea	2016-03-04	SRR3203089	SRS1321753	Brassica oleracea SamC_064	Kohlrabi 19	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498305	SRX1612579	DNA library 258	2016-03-04	7293	4962	Brassica oleracea	2016-03-04	SRR3203082	SRS1321755	Brassica oleracea SamC_059	Kohlrabi 14	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498304	SRX1612577	DNA library 257	2016-03-04	7237	4925	Brassica oleracea	2016-03-04	SRR3203080	SRS1321758	Brassica oleracea SamC_058	Kohlrabi 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498302	SRX1612574	DNA library 255	2016-03-04	7065	4825	Brassica oleracea	2016-03-04	SRR3203077	SRS1321760	Brassica oleracea SamC_056	Kohlrabi 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498301	SRX1612572	DNA library 254	2016-03-04	7291	4935	Brassica oleracea	2016-03-04	SRR3203076	SRS1321762	Brassica oleracea SamC_055	Kohlrabi 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498299	SRX1612570	DNA library 252	2016-03-04	6588	4498	Brassica oleracea	2016-03-04	SRR3203074	SRS1321765	Brassica oleracea SamC_053	Kohlrabi 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498318	SRX1612643	DNA library 271	2016-03-04	6974	4830	Brassica oleracea	2016-03-04	SRR3203115	SRS1321804	Brassica oleracea SamC_072	Cauliflower 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
